Time,EP_con_kWh,EP_gen_kWh
19980000,0.451551894289,0.17755
19983600,0.449815001948,0.17437
19987200,0.421281405334,0.17058
19990800,0.367760932297,0.16931
19994400,0.321964359855,0.15902
19998000,0.300287257298,0.1496
20001600,0.300803363947,0.15501
20005200,0.308847766555,0.15952
20008800,0.297330192143,0.15126
20012400,0.278246015488,0.13292
20016000,0.261313704626,0.1196
20019600,0.267539957183,0.12147
20023200,0.305743345751,0.14987
20026800,0.347494999152,0.16909
20030400,0.373446168282,0.18609
20034000,0.427856577113,0.2296
20037600,0.425407147502,0.22261
20041200,0.396851304958,0.1866
20044800,0.450704238082,0.20449
20048400,0.46110942062,0.19253
20052000,0.471990002049,0.18847
20055600,0.483934764898,0.18422
20059200,0.496412243539,0.18107
20062800,0.50329046762,0.17918
20066400,0.497506175923,0.18074
20070000,0.50533990342,0.18049
20073600,0.479309966192,0.17455
20077200,0.381302017957,0.17367
20080800,0.295104349594,0.1345
20084400,0.240385925096,0.10452
20088000,0.231910074856,0.10642
20091600,0.228723187778,0.10452
20095200,0.213780277658,0.09252
20098800,0.194453003194,0.0777
20102400,0.181033350213,0.07063
20106000,0.125371112492,0.02453
20109600,0.176017639168,0.05676
20113200,0.21377283444,0.07369
20116800,0.305529664813,0.1446
20120400,0.347222303716,0.18226
20124000,0.346120624276,0.18224
20127600,0.354172298654,0.17651
20131200,0.401813706277,0.20733
20134800,0.397300934824,0.18449
20138400,0.387736841341,0.17105
20142000,0.373297685518,0.14952
20145600,0.371717941079,0.1452
20149200,0.380877165784,0.15289
20152800,0.406071734236,0.18257
20156400,0.415387689611,0.20907
20160000,0.419592391364,0.20459
20163600,0.370581054537,0.18544
20167200,0.35694028326,0.14959
20170800,0.329808791261,0.12497
20174400,0.332303019021,0.1319
20178000,0.36293352546,0.15972
20181600,0.313067820567,0.15869
20185200,0.292519997133,0.1405
20188800,0.291784967972,0.1396
20192400,0.291928031732,0.1375
20196000,0.381149670129,0.17456
20199600,0.430340541361,0.20734
20203200,0.465307273241,0.22289
20206800,0.496394950143,0.2496
20210400,0.432145038466,0.22943
20214000,0.418760494202,0.20919
20217600,0.471276013631,0.19198
20221200,0.466708104468,0.17405
20224800,0.450712812546,0.14947
20228400,0.466298409333,0.14803
20232000,0.476467396744,0.14939
20235600,0.486071513428,0.15438
20239200,0.504329933935,0.17991
20242800,0.490667903681,0.1842
20246400,0.498840573803,0.1824
20250000,0.423964012056,0.1573
20253600,0.45663528966,0.1586
20257200,0.45259243926,0.16235
20260800,0.460453786449,0.16971
20264400,0.478862048538,0.18473
20268000,0.434655840555,0.18501
20271600,0.430927649823,0.18029
20275200,0.423296048092,0.17081
20278800,0.43101891985,0.17063
20282400,0.509046412006,0.18234
20286000,0.552524695935,0.206
20289600,0.597332685468,0.23511
20293200,0.610310441463,0.24973
20296800,0.56620782543,0.23881
20300400,0.575427819148,0.21757
20304000,0.617496049079,0.21443
20307600,0.640047864325,0.2085
20311200,0.670256602984,0.20899
20314800,0.683635755383,0.20728
20318400,0.692879365825,0.2072
20322000,0.681870275199,0.19929
20325600,0.624350435785,0.18351
20329200,0.624824541221,0.20722
20332800,0.623244048453,0.20755
20336400,0.558552619734,0.20059
20340000,0.511299991977,0.1507
20343600,0.493357875989,0.1472
20347200,0.484420276738,0.1481
20350800,0.487580970327,0.16015
20354400,0.426723025434,0.14954
20358000,0.418283363492,0.13994
20361600,0.422177434101,0.13967
20365200,0.430629583009,0.14358
20368800,0.495264374646,0.14762
20372400,0.579648145836,0.20446
20376000,0.614081853507,0.22048
20379600,0.62596527423,0.23666
20383200,0.582992319575,0.22298
20386800,0.617246437982,0.21834
20390400,0.599660722068,0.20087
20394000,0.567867909789,0.1546
20397600,0.594335816586,0.15154
20401200,0.599855765006,0.1506
20404800,0.603084206306,0.1477
20408400,0.594218220189,0.14358
20412000,0.570113744285,0.1516
20415600,0.57301319964,0.17993
20419200,0.560841218743,0.18043
20422800,0.507103399816,0.19069
20426400,0.468032473958,0.15334
20430000,0.448586589318,0.14002
20433600,0.437525707096,0.14002
20437200,0.441101024994,0.14969
20440800,0.381264991101,0.1427
20444400,0.379795335168,0.14002
20448000,0.372964086806,0.13278
20451600,0.374992976277,0.13277
20455200,0.434714372063,0.14559
20458800,0.456424576074,0.15508
20462400,0.532992499806,0.2028
20466000,0.534141035487,0.20898
20469600,0.491912745411,0.20097
20473200,0.480146991819,0.17955
20476800,0.472037418401,0.19977
20480400,0.419634368849,0.14838
